id,ticker,financialGroup,displayName,createdAt,updatedAt
478,SANKO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:46.985,2025-10-19 22:35:31.802
479,SARKY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:48.938,2025-10-19 22:35:33.355
480,SASA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:50.585,2025-10-19 22:35:34.86
481,SAYAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:52.279,2025-10-19 22:35:36.308
482,SDTTR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:54.087,2025-10-19 22:35:37.685
483,SEGMN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:55.932,2025-10-19 22:35:39.063
484,SEGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:57.499,2025-10-19 22:35:40.463
485,SEKFK,XI_29K,Seri XI No:29 Konsolide,2025-10-19 20:13:59.214,2025-10-19 22:35:41.865
486,SEKUR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:00.946,2025-10-19 22:35:43.225
487,SELEC,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:03.009,2025-10-19 22:35:44.721
488,SELVA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:04.455,2025-10-19 22:35:46.281
489,SERNT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:06.045,2025-10-19 22:35:47.777
490,SEYKM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:07.689,2025-10-19 22:35:49.175
491,SILVR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:09.382,2025-10-19 22:35:50.62
492,SISE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:11.126,2025-10-19 22:35:52.012
493,SKBNK,UFRS_K,Konsolide UFRS,2025-10-19 20:14:12.7,2025-10-19 22:35:53.515
494,SKTAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:14.261,2025-10-19 22:35:54.978
495,SKYLP,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:15.847,2025-10-19 22:35:56.378
496,SKYMD,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:17.426,2025-10-19 22:35:57.7
497,SMART,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:19.148,2025-10-19 22:35:59.076
498,SMRTG,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:14:20.762,2025-10-19 22:36:00.449
499,SMRVA,UFRS_B,UFRS: DO&CO K_Finansalları,2025-10-19 20:14:22.474,2025-10-19 22:36:01.896
